Last Update,Country,Province/State,Confirmed
6/18/2016,Argentina,Chaco,65
6/18/2016,Argentina,Chaco,4
6/18/2016,Argentina,Chubut,1
6/18/2016,Argentina,Chubut,5
6/18/2016,Argentina,Cordoba,1
6/18/2016,Argentina,Cordoba,2
6/18/2016,Argentina,Cordoba,41
6/18/2016,Argentina,Cordoba,1
6/18/2016,Argentina,Corrientes,2
6/18/2016,Argentina,Corrientes,19
6/18/2016,Argentina,Entre_Rios,40
6/18/2016,Argentina,Entre_Rios,4
6/18/2016,Argentina,Formosa,9
6/18/2016,Argentina,Jujuy,765
6/18/2016,Argentina,Jujuy,1
6/18/2016,Argentina,La_Pampa,2
6/18/2016,Argentina,La_Rioja,3
6/18/2016,Argentina,Mendoza,1
6/18/2016,Argentina,Mendoza,18
6/18/2016,Argentina,Misiones,6
6/18/2016,Argentina,Misiones,1
6/18/2016,Argentina,Neuquen,20
6/18/2016,Argentina,Rio_Negro,9
6/18/2016,Argentina,Salta,101
6/18/2016,Argentina,Salta,3
6/18/2016,Argentina,San_Juan,1
6/18/2016,Argentina,San_Luis,12
6/18/2016,Argentina,Santa_Cruz,9
6/18/2016,Argentina,Santa_Fe,36
6/18/2016,Argentina,Santa_Fe,2
6/18/2016,Argentina,Sgo_Del_Estero,6
6/18/2016,Argentina,Tucuman,20
6/18/2016,Argentina,Tucuman,6
6/18/2016,Argentina,Tucuman,66
6/18/2016,Argentina,Tucuman,2
6/26/2016,Argentina,Buenos_Aires,2
6/26/2016,Argentina,Buenos_Aires,2
6/26/2016,Argentina,Buenos_Aires,223
6/26/2016,Argentina,Buenos_Aires,25
6/26/2016,Argentina,CABA,9
6/26/2016,Argentina,CABA,149
6/26/2016,Argentina,CABA,2
6/26/2016,Argentina,Catamarca,16
6/26/2016,Argentina,Chaco,66
6/26/2016,Argentina,Chaco,4
6/26/2016,Argentina,Chubut,1
6/26/2016,Argentina,Chubut,5
6/26/2016,Argentina,Cordoba,1
6/26/2016,Argentina,Cordoba,2
6/26/2016,Argentina,Cordoba,41
6/26/2016,Argentina,Cordoba,1
6/26/2016,Argentina,Corrientes,2
6/26/2016,Argentina,Corrientes,19
6/26/2016,Argentina,Entre_Rios,40
6/26/2016,Argentina,Entre_Rios,4
6/26/2016,Argentina,Formosa,9
6/26/2016,Argentina,Jujuy,769
6/26/2016,Argentina,Jujuy,1
6/26/2016,Argentina,La_Pampa,2
6/26/2016,Argentina,La_Rioja,3
6/26/2016,Argentina,Mendoza,1
6/26/2016,Argentina,Mendoza,18
6/26/2016,Argentina,Misiones,6
6/26/2016,Argentina,Misiones,1
6/26/2016,Argentina,Neuquen,20
6/26/2016,Argentina,Rio_Negro,8
6/26/2016,Argentina,Rio_Negro,1
6/26/2016,Argentina,Salta,102
6/26/2016,Argentina,Salta,4
6/26/2016,Argentina,San_Juan,1
6/26/2016,Argentina,San_Luis,10
6/26/2016,Argentina,San_Luis,1
6/26/2016,Argentina,Santa_Cruz,9
6/26/2016,Argentina,Santa_Fe,36
6/26/2016,Argentina,Santa_Fe,2
6/26/2016,Argentina,Sgo_Del_Estero,6
6/26/2016,Argentina,Tucuman,22
6/26/2016,Argentina,Tucuman,9
6/26/2016,Argentina,Tucuman,65
6/26/2016,Argentina,Tucuman,3
2/13/2016,Brazil,Acre,22
2/13/2016,Brazil,Alagoas,90
2/13/2016,Brazil,Amapa,583
2/13/2016,Brazil,Amazonas,243
2/13/2016,Brazil,Bahia,6
2/13/2016,Brazil,Ceara,58
2/13/2016,Brazil,Distrito_Federal,72
2/13/2016,Brazil,Espirito_Santo,159
2/13/2016,Brazil,Goias,122
2/13/2016,Brazil,Maranhao,5
2/13/2016,Brazil,Mato_Grosso,24
2/13/2016,Brazil,Mato_Grosso_do_Sul,10
2/13/2016,Brazil,Minas_Gerais,423
2/13/2016,Brazil,Para,1
2/13/2016,Brazil,Paraiba,1203
2/13/2016,Brazil,Parana,74
2/13/2016,Brazil,Pernambuco,228
2/13/2016,Brazil,Piaui,227
2/13/2016,Brazil,Rio_Grande_do_Norte,1
2/13/2016,Brazil,Rio_de_Janeiro,8
2/13/2016,Brazil,Rondonia,177
2/13/2016,Brazil,Roraima,111
2/13/2016,Brazil,Sergipe,88
2/13/2016,Brazil,Sao_Paulo,25
2/13/2016,Brazil,Tocantins,107
2/13/2016,Brazil,Alagoas,24
2/13/2016,Brazil,Amapa,3
2/13/2016,Brazil,Amazonas,6
2/13/2016,Brazil,Bahia,1
2/13/2016,Brazil,Ceara,1
2/13/2016,Brazil,Espirito_Santo,56
2/13/2016,Brazil,Goias,182
2/13/2016,Brazil,Mato_Grosso_do_Sul,30
2/13/2016,Brazil,Para,70
2/13/2016,Brazil,Paraiba,1
2/13/2016,Brazil,Pernambuco,2
2/13/2016,Brazil,Piaui,89
2/13/2016,Brazil,Rio_Grande_do_Norte,54
2/13/2016,Brazil,Rio_Grande_do_Sul,20
2/13/2016,Brazil,Rio_de_Janeiro,17
2/13/2016,Brazil,Alagoas,3
2/13/2016,Brazil,Amapa,2
2/13/2016,Brazil,Amazonas,16
2/13/2016,Brazil,Bahia,46
2/13/2016,Brazil,Ceara,5
2/13/2016,Brazil,Distrito_Federal,39
2/13/2016,Brazil,Espirito_Santo,287
2/13/2016,Brazil,Goias,9
2/13/2016,Brazil,Maranhao,159
2/13/2016,Brazil,Mato_Grosso,12
2/13/2016,Brazil,Mato_Grosso_do_Sul,20
2/13/2016,Brazil,Minas_Gerais,4
2/13/2016,Brazil,Paraiba,1
2/13/2016,Brazil,Parana,8
2/13/2016,Brazil,Pernambuco,29
2/13/2016,Brazil,Piaui,17
2/13/2016,Brazil,Rio_Grande_do_Norte,14
2/13/2016,Brazil,Rio_de_Janeiro,26
2/13/2016,Brazil,Santa_Catarina,15
2/13/2016,Brazil,Sergipe,3
2/13/2016,Brazil,Sao_Paulo,5
2/13/2016,Brazil,Tocantins,1
2/13/2016,Brazil,Alagoas,1
2/13/2016,Brazil,Bahia,27
2/13/2016,Brazil,Ceara,65
2/13/2016,Brazil,Espirito_Santo,9
2/13/2016,Brazil,Goias,34
2/13/2016,Brazil,Mato_Grosso_do_Sul,1
2/13/2016,Brazil,Para,2
2/13/2016,Brazil,Paraiba,1
2/13/2016,Brazil,Pernambuco,2
2/13/2016,Brazil,Piaui,18
2/13/2016,Brazil,Rio_Grande_do_Norte,3
2/13/2016,Brazil,Rio_Grande_do_Sul,1
2/13/2016,Brazil,Rio_de_Janeiro,1
2/13/2016,Brazil,Acre,3
2/13/2016,Brazil,Alagoas,10
2/13/2016,Brazil,Bahia,16
2/13/2016,Brazil,Ceara,6
2/13/2016,Brazil,Goias,7
2/13/2016,Brazil,Maranhao,2
2/13/2016,Brazil,Mato_Grosso,2
2/13/2016,Brazil,Paraiba,9
2/13/2016,Brazil,Pernambuco,3
2/13/2016,Brazil,Rio_Grande_do_Norte,3
2/13/2016,Brazil,Sergipe,10
2/13/2016,Brazil,Sao_Paulo,1
2/13/2016,Brazil,Alagoas,2
2/13/2016,Brazil,Ceara,1
2/13/2016,Brazil,Paraiba,2
2/13/2016,Brazil,Piaui,3
2/13/2016,Brazil,Rio_Grande_do_Norte,2
2/13/2016,Brazil,Goias,25
2/13/2016,Brazil,Minas_Gerais,120
2/13/2016,Brazil,Paraiba,33
2/13/2016,Brazil,Parana,3
2/13/2016,Brazil,Piaui,6
2/13/2016,Brazil,Sao_Paulo,14
2/20/2016,Brazil,Alagoas,1
2/20/2016,Brazil,Amapa,1
2/20/2016,Brazil,Amazonas,59
2/20/2016,Brazil,Bahia,209
2/20/2016,Brazil,Ceara,32
2/20/2016,Brazil,Espirito_Santo,76
2/20/2016,Brazil,Goias,1
2/20/2016,Brazil,Maranhao,2
